beer,beer_id,tasting_category_fine,A_malt_all,A_malt_grain,A_malt_bread,A_malt_cara,A_malt_burn,A_hops_all,A_hops_citrus,A_hops_tropical,A_hops_noble,A_hops_woody,A_esters_all,A_esters_ethac,A_esters_isoaa,A_esters_flower,A_esters_fruity,F_malt_all,F_malt_grain,F_malt_bread,F_malt_cara,F_malt_burn,F_hops_all,F_hops_citrus,F_hops_tropical,F_hops_noble,F_hops_woody,F_esters_all,F_esters_ethac,F_esters_isoaa,F_esters_flower,F_esters_fruity,acidity,bitternes,sweetness,X4vg,diacetyl,dms,metallic,stale_hops,t2n,orange,coriander,clove,lactic,acetic,barnyard,alcohol,aftertaste,body,co2,overall
10,5410228202929,Low/No alcohol,-0.481208091,-0.179069851,-0.464635537,-0.554391142,-0.384539605,-0.022009968,0.843613052,0.119141501,-1.0269005,-0.417659128,0.686737708,-0.729831234,0.594999135,0.512809235,1.113804039,-0.831581244,-0.347034498,-0.441556988,-0.555756438,-0.538200898,-0.070874093,0.942014262,0.641700638,-1.167382423,-0.513967839,1.446443091,-0.638929924,1.315103005,0.818522781,1.85782528,-0.346028702,-1.696521301,1.806895939,0.280641542,0.139394292,-0.601013418,-0.33867877,-0.366768402,-0.506451787,4.774454855,0.7836312,2.828355433,-0.162975269,-0.282148931,-0.357289729,-1.807336346,-1.682732987,-0.630385734,-1.043431242,-0.46785231
86,5410783031019,Low/No alcohol,1.678276416,1.759243217,0.356966858,0.649475128,0.687970445,-0.735573191,-0.4937209,-0.491423993,-0.429676842,0.147662763,-0.953325741,-0.590510674,-0.154992494,-0.499263938,-0.110281559,0.81477388,0.711612733,0.873204611,-0.034065152,-0.065067297,-0.905995334,-0.336367142,-0.360475463,-0.455010954,-0.393995959,-0.270542094,-0.166951525,-0.136740353,-0.045852964,-0.019466305,-0.496049115,-1.10647111,0.562488577,-0.320170353,1.143516887,-0.342934789,-0.558389742,-0.366768402,0.155307169,-0.28185776,-0.21316822,-0.225152971,-0.314573857,-0.282148931,-0.357289729,-1.974903635,-1.456135761,-1.380573805,-0.408753098,-0.994805689
2,5410228142003,Low/No alcohol,-0.135865266,0.215999413,-0.083785949,-0.554391142,-0.384539605,-1.192018517,-0.4937209,-0.048594168,-1.0269005,-0.417659128,-1.251810759,-0.729831234,-0.804312481,-0.385502969,-0.253593318,0.214668015,0.448397455,0.290499367,-0.555756438,-0.538200898,-0.912007904,-0.106691678,-0.360475463,-0.65753351,-0.393995959,-0.918338396,-0.530225264,-0.666420209,0.112906267,-0.092655609,-0.72554338,-0.813004993,0.014400169,-0.608348003,-0.364293131,-0.089851046,0.566447864,-0.366768402,0.425004921,0.371977484,-0.21316822,-0.225152971,-0.314573857,-0.282148931,-0.357289729,-1.990725215,-1.647121295,-1.169839454,-1.353027867,-1.528543899
83,54055520,Low/No alcohol,0.538251567,1.059832236,0.486691807,-0.554391142,-0.384539605,-0.668249072,0.145775291,-0.491423993,-0.87961068,-0.166911899,-1.304660673,-0.729831234,-0.389257764,-0.208540201,-0.493828058,-0.067232447,0.546857564,-0.015854704,-0.192764473,-0.538200898,-0.580368511,0.206203643,-0.360475463,-0.668518093,-0.513967839,-0.767940166,-0.166951525,-0.195699052,-0.045852964,-0.262820289,-0.496049115,-1.368065002,0.736964215,-0.608348003,-0.341050064,0.090476519,-0.558389742,-0.366768402,-0.300363733,0.18010588,-0.21316822,-0.225152971,-0.314573857,-0.282148931,-0.357289729,-2.150728655,-1.801022549,-0.997523904,-1.04561015,-0.934138161
40,5410228141181,Low/No alcohol,-0.43782324,-0.507368379,0.076957301,-0.503613963,-0.277529326,-0.498429848,-0.492765455,-0.422333881,-0.38739784,-0.275265595,-1.507855314,-0.437039134,-0.803317125,-0.38534124,-0.686398712,-0.49614915,0.126939007,-0.458117977,-0.529964921,-0.425453126,-1.138578757,-0.510420848,-0.353292906,-0.735341403,-0.319977136,-1.208515159,-0.365087347,-0.713768761,-0.362494131,-0.579905554,-0.496417054,-1.539483592,-0.563262472,-0.455404813,-0.434429325,0.414774553,-0.60100757,-0.340628172,1.27085539,-0.265413913,-0.236604887,-0.248292102,-0.307379682,-0.269671311,-0.331149499,-1.681082363,-2.100344509,-1.862278045,-1.739427779,-1.735964657
247,5411081000264,Fruitbeer,-1.552114518,-0.725260408,-0.350589762,-0.548202007,-0.395999058,-0.900943033,-0.579850507,0.231098065,-0.727354609,-0.316157766,0.782548402,0.106032271,0.480301914,0.373452115,1.493358583,-0.872621039,-0.391781759,-0.369944151,-0.461243396,-0.432229547,-0.415523116,-0.667823107,1.360641116,-0.886961802,-0.363583268,0.74776377,0.002688377,0.551463122,0.417674498,0.575147981,0.379837439,-1.176313222,1.543319637,-0.477169281,-0.631934352,-0.004142746,-0.478069278,-0.330107959,-0.020437322,-0.196648935,-0.154420058,-0.172799347,0.537284513,0.031509194,-0.322330207,-1.11729283,-0.015251777,-0.562798198,-0.45615718,-0.800697501
48,8711406995211,Dubbel,0.032673009,-0.105732368,0.125976472,0.423491364,-0.075006847,-0.486812423,-0.145443089,-0.393148507,-0.035317375,-0.041815004,0.512176769,-0.09632918,0.939560769,-0.045648938,-0.216141171,0.306034668,-0.517730952,0.457004317,1.007308334,0.654971854,-0.884512894,-0.206204887,-0.319629026,-0.484249128,-0.303997083,0.351972673,-0.44784409,0.881131152,-0.293897007,-0.339693688,-0.468558823,-0.419218461,0.215675433,1.491593243,-0.020678816,0.038525164,0.664131104,-0.366261189,-0.356848847,-0.135144187,-0.18192213,0.347363139,-0.304882645,-0.276372668,-0.358834573,-0.027833715,-0.062361408,0.026275247,-0.218345123,-0.259323556
165,5411081000363,Fruitbeer,-0.365166199,0.293535099,0.578797838,-0.142821765,-0.395999058,-0.215630196,-0.108546052,-0.475513741,-0.008655224,0.643075184,0.165668971,-0.42862985,-0.426097536,1.821322706,-0.391882618,-1.059227255,-0.584617644,-0.369944151,-0.046414721,-0.432229547,-0.75523426,-0.265107963,-0.359743267,-0.731722267,0.517418463,-0.362973401,-0.794101527,-0.058568239,0.993381539,0.46421806,-0.227246852,-1.227834751,1.250807273,-0.477169281,-0.381438811,-0.234107514,0.025363818,-0.330107959,0.05065054,-0.196648935,-0.154420058,-0.172799347,-0.296406996,-0.322394077,-0.322330207,-1.584308299,0.161447633,-0.562798198,-0.955933942,-0.250889603
124,5412186002658,Pils/Lager,-0.241040615,0.107950582,-0.476990017,-0.166923022,-0.163954174,-0.609888761,-0.188239997,-0.322966583,-0.293700629,-0.292678704,-0.410888527,-0.400123457,-0.688024592,-0.102812776,-0.200509142,-0.400638684,-0.122253754,-0.125806063,-0.507156207,-0.34636537,-0.735896698,-0.035474783,-0.270564548,-0.851798246,-0.349085446,-0.885172986,-0.711329468,-0.60214003,-0.022763114,-0.50842295,-0.293804926,-0.791903482,-0.136030524,-0.357201276,-0.218577788,0.462643823,0.376305465,-0.355194378,0.388055259,-0.235024364,-0.183778144,-0.233774283,-0.325330854,-0.290133699,-0.350492131,-1.151101424,-1.262644231,-0.771905399,-0.930454642,0.230788319
207,5411223030036,Fruitbeer,-1.019600382,-0.352948337,-0.350589762,-0.341408486,-0.395999058,-0.589112232,0.753556747,0.063405245,-0.616933142,-0.316157766,0.932723779,-0.719258356,1.66278091,1.120187776,0.711510762,-0.674413987,-0.206743486,-0.369944151,-0.007503441,-0.432229547,-0.130670707,-0.063750391,1.641715215,-0.886961802,-0.363583268,0.79461504,-0.794101527,1.746227568,0.296279608,0.46421806,-0.059149485,-1.374642688,1.127619838,-0.477169281,0.026902452,-0.595283604,-0.478069278,-0.330107959,-0.477207738,-0.196648935,-0.154420058,-0.172799347,-0.018509827,0.694663363,-0.322330207,-1.584308299,-1.008682543,-0.790690631,0.244033715,-0.677687018
